Model,Type,SKU,Name
BZ2,uap,UAP,Access Point
BZ2LR,uap,UAP-LR,Access Point Long-Range
S216150,usw,US-16-150W,Switch 16 PoE (150 W)
S224250,usw,US-24-250W,Switch 24 PoE (250 W)
S224500,usw,US-24-500W,Switch 24 PoE (500 W)
S248500,usw,US-48-500W,Switch 48 PoE (500 W)
S248750,usw,US-48-750W,Switch 48 PoE (750 W)
S28150,usw,US-8-150W,Switch 8 PoE (150 W)
U2HSR,uap,UAP-Outdoor+,Access Point Outdoor+
U2IW,uap,UAP-IW,Access Point In-Wall
U2L48,uap,UAP-LR,Access Point Long-Range
U2Lv2,uap,UAP-LRv2,Access Point Long-Range
U2M,uap,UAP-Mini,Access Point Mini
U2O,uap,UAP-Outdoor,Access Point Outdoor
U2S48,uap,UAP,Access Point
U2Sv2,uap,UAPv2,Access Point
U5O,uap,UAP-Outdoor5,Access Point Outdoor 5
U6ENT,uap,U6-Enterprise,Access Point WiFi 6 Enterprise
U6EXT,uap,U6-Extender,Access Point WiFi 6 Extender
U6IW,uap,U6-IW,Access Point WiFi 6 In-Wall
U6M,uap,U6-Mesh,Access Point WiFi 6 Mesh
U7E,uap,UAP-AC,Access Point AC
U7EDU,uap,UAP-AC-EDU,Access Point AC EDU
U7Ev2,uap,UAP-AC,Access Point AC
U7HD,uap,UAP-AC-HD,Access Point AC HD
U7IW,uap,UAP-AC-IW,Access Point AC In-Wall
U7IWP,uap,UAP-AC-IW-Pro,Access Point AC In-Wall Pro
U7LR,uap,UAP-AC-LR,Access Point AC Long-Range
U7LT,uap,UAP-AC-Lite,Access Point AC Lite
U7MP,uap,UAP-AC-M-Pro,Access Point AC Mesh Pro
U7MSH,uap,UAP-AC-M,Access Point AC Mesh
U7NHD,uap,UAP-nanoHD,Access Point nanoHD
U7O,uap,UAP-AC-Outdoor,Access Point AC Outdoor
U7P,uap,UAP-AC-Pro,Access Point AC Pro
U7PG2,uap,UAP-AC-Pro,Access Point AC Pro
U7SHD,uap,UAP-AC-SHD,Access Point AC SHD
UAE6,uap,U6-Extender-EA,Access Point WiFi 6 Extender
UAIW6,uap,U6-IW-EA,Access Point WiFi 6 In-Wall
UAL6,uap,U6-Lite,Access Point WiFi 6 Lite
UALR6,uap,U6-LR-EA,Access Point WiFi 6 Long-Range
UALR6v2,uap,U6-LR,Access Point WiFi 6 Long-Range
UALR6v3,uap,U6-LR,Access Point WiFi 6 Long-Range
UAM6,uap,U6-Mesh-EA,Access Point WiFi 6 Mesh
UAP6,uap,U6-LR,Access Point WiFi 6 Long-Range
UAP6MP,uap,U6-Pro,Access Point WiFi 6 Pro
UASXG,uas,UAS-XG,Application Server XG
UBB,ubb,UBB,Building-to-Building Bridge
UBBXG,ubb,UBB-XG,Building-to-Building Bridge XG
UCK,uck,UCK,Cloud Key
UCK-v2,uck,UCK,Cloud Key
UCK-v3,uck,UCK,Cloud Key
UCKG2,uck,UCK-G2,Cloud Key Gen2
UCKP,uck,UCK-G2-Plus,Cloud Key Gen2 Plus
UCMSH,uap,UAP-XG-Mesh,Access Point Mesh XG
